id_discussion,title,link,score,answer_count,view_count,creation_date,tags
44761748,Compiling Python to WebAssembly,https://stackoverflow.com/questions/44761748/compiling-python-to-webassembly,128,5,100400,2017/6/26 22:13,"python, emscripten, webassembly"
48219716,What is address(0) in Solidity,https://stackoverflow.com/questions/48219716/what-is-address0-in-solidity,68,3,55172,2018/1/12 12:47,"ethereum, solidity, ether"
43540878,What languages can be compiled to WebAssembly (Wasm)?,https://stackoverflow.com/questions/43540878/what-languages-can-be-compiled-to-webassembly-wasm,140,4,51328,2017/4/21 18:54,"llvm, programming-languages, webassembly"
48184969,calling smart contracts methods using web3 ethereum,https://stackoverflow.com/questions/48184969/calling-smart-contracts-methods-using-web3-ethereum,12,5,51144,2018/1/10 18:12,"javascript, ethereum, web3js, geth"
50589083,TypeError: Failed to execute &#39;compile&#39; on &#39;WebAssembly&#39;: Incorrect response MIME type. Expected &#39;application/wasm&#39;,https://stackoverflow.com/questions/50589083/typeerror-failed-to-execute-compile-on-webassembly-incorrect-response-mime,34,4,46772,2018/5/30 0:35,"express, webassembly"
70622074,Set gas limit on contract method in ethers.js,https://stackoverflow.com/questions/70622074/set-gas-limit-on-contract-method-in-ethers-js,25,4,42687,2022/1/7 21:38,"javascript, ethereum, ethers.js, ether"
55345063,How to return array of address in solidity?,https://stackoverflow.com/questions/55345063/how-to-return-array-of-address-in-solidity,12,4,36043,2019/3/26 3:23,"solidity, smartcontracts"
64619318,Web3 Error: Transaction has been reverted by the EVM:,https://stackoverflow.com/questions/64619318/web3-error-transaction-has-been-reverted-by-the-evm,4,3,33227,2020/10/31 15:10,"javascript, node.js, ethereum, web3js"
59708546,How can I access and manipulate the DOM in WebAssembly?,https://stackoverflow.com/questions/59708546/how-can-i-access-and-manipulate-the-dom-in-webassembly,51,5,31046,2020/1/13 6:12,"javascript, dom, webassembly"
57580702,How to call a Smart Contract function using Python and web3.py,https://stackoverflow.com/questions/57580702/how-to-call-a-smart-contract-function-using-python-and-web3-py,9,2,30126,2019/8/21 3:53,"python, blockchain, ethereum, web3py"
